
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
阴阳乖戾 阴阳乖戾 ①指阴阳失调或不和，它是病理变化的基本原理，可导致脏腑功能等失常。②指其它事物的异常或反常。
阴阳互根 阴阳互根 即对立的阴阳双方互相以对方的存在为自己存在的前提．
阴阳交 阴阳交 病证名。出《素问·评热论》。其症状是：“有温病者汗出辄复热，而脉躁疾不为汗衰，狂言不能食，病名阴阳交。交者死也。”意思是高热病大汗后仍发热，心率过快，神志不清，狂言乱语，不能进食、饮水，预后往往严重。
阴阳俱溢 阴阳俱溢 ①人体阴阳皆盛。②古代诊脉寸口属阴，人迎属阳，若人迎和寸口脉都洪盛如溢，表示邪盛正衰，疾病恶化。《灵枢·终始》：“人迎与脉口俱盛三倍以上，命曰阴阳俱溢”。
阴阳离决 阴阳离决 即阴与阳互相脱离，造成事物的终结，或生命的死亡。
阴阳两虚 阴阳两虚 指脏腑阴阳俱虚，或气血俱虚，或肾的阴阳俱虚。可因阴损及阳或阳损及阴，或阴阳俱损而致。
阴阳偏胜 阴阳偏胜 即阴阳失调．
阴阳人 阴阳人 又名人疴。即两性畸形的人。
阴阳胜复 阴阳胜复 即阴阳之间的交替、盛衰和转化。
阴阳失调 阴阳失调 也称阴阳偏胜。指阴阳失去平衡而表观为一方的偏胜或偏衰，从而不能维持正常的生理功能而表现为病理过程。《素问·阴阳应象大论》：“阴胜则阳病，阳胜则阴病；阳胜则热，阴胜则寒”。
阴阳消长 阴阳消长 阴阳是自然事物对立的两个方面，总在此消彼长，此盛彼衰地变化着．若表现在病理上，有“热盛伤津(阴)”、“阴虚阳亢”、“阴盛阳衰”等变化。
阴阳易 阴阳易 古病证名。出《伤寒论·辨阴阳易差后劳复病脉证并治》．①阴位见阳脉，阳位见阴脉。如阳脉宜见于寸之阳位反而见于尺，阴脉宜见于尺之阴位反而见于寸。这些都属于危证；②指伤寒病人初愈，而房事后又复发者。
阴阳之人 阴阳之人 出《灵枢·阴阳二十五人》。①指偏于阴或偏于阳的人。②指阴阳和平的人。
阴阳转化 阴阳转化 指阴阳在一定条件下可以互相转化，阴可转化为阳，阳也可转化为阴。
阴阳自和 阴阳自和 指阴阳有自我调整以达平和的功能。
阴阳疝 阴阳疝 即狐疝。
阴阳翳 阴阳翳 指黑睛上生两块白翳，一虚一实，互相连环。
阴痒 阴痒 病证名。出《肘后方》。指妇女阴部或阴道内瘙痒。因瘙痒引起阴部破溃、糜烂者称阴蚀。多因湿热下注或肝经郁热所致．
阴液 阴液 ①泛指体内含有营养物质的液体，如精、血、津、液等。②指某一脏腑所分泌的液体。因其供脏腑以营养，而不表现为功能。所以与阳相对应而称阴液。
阴脏 阴脏 ①指阴盛体质的人。其用药以刚燥为好。②同牝脏．
阴躁 阴躁 是阴盛格阳引起四肢厥冷，冷汗自出。脉微欲绝，躁扰不安的一种危重之证。
阴证 阴证 八纲辨证中的里、寒、虚证。凡在临床上表现的为沉静的，下降的，隐袭的，慢性的，退行性的，抑制的，器质性的，八纲辨证属于里、虚、寒的症状，多属于阴证的范畴。一般阴证常表现为无热恶寒，精神萎靡不振，四肢厥冷，身体沉重，但欲卧床，下利清谷，小便清长，爪甲青白，面白，舌淡，脉沉细等。外科疮疡之见疮根散漫，不红不肿，不硬不痛者也；为阴证。
阴证略例 阴证略例 书名。元，王好古撰于1292年。1卷。是一本关于阴证伤寒的专著。本书既采集了前人的有关论述，又有自己的见解。可作为研究内科杂病防证的参考。
阴证伤寒 阴证伤寒 即病邪直中阴经的虚寒证。
阴证似阳 阴证似阳 指虚寒病发展到严重阶段时，可出现热的假象。如出观面红、口渴、手足躁扰、脉浮大等。应注意分析，以免误治．
阴痔 阴痔 病名。见《证治准绳》。类似于子宫脱垂。《坤宁集》：“凡九窍有肉突出，皆名为痔，妇人阴中突肉名阴痔”。
阴中之阳 阴中之阳 指属于阳性的事物，居于阴位之意。《素问·金匮真言论》：“腹为阴，阴中之阳，肝也。”
阴中之阴 阴中之阴 ①指属于阴性的事物，又居于阴位之意。《素问·金匮真言论》：“腹为阴，阴中之阴，肾也。”②足太阴经脉根起于足大趾之端的隐白穴。《素问，阴阳离合论》：“太阴根起于隐白，名曰阴中之阴。”
阴肿 阴肿 指妇女外阴部肿胀疼痛的病证。多因阴部不洁，感染所致。外伤、粗暴性交等也可以造成阴肿．表现为外阴肿胀疼痛。
阴纵 阴纵 病证名。见《医学纲目·旰胆部》。又名阴挺。即男子阴茎挺长(勃起)而不收。多与湿热有关。
阴厥 阴厥 阴寒之邪过盛引起的晕厥：实即寒厥．
阴俳 阴俳 即瘩痱。
阴疝 阴疝 ①因受寒而引起的少腹部阵发性疼痛，并向阴部放散。②睾丸精索疼痛而连及小腹部者。
阴痫 阴痫 病证名。见《诸病源侯论·卷四十五》．指癫痫发作属阴性者，多表现为身体偏冷，不啼叫，手足不抽搐，脉沉细．
阴痿 阴痿 出《灵枢·邪气藏府病形》等篇。即阳萎。指男子阴茎不能勃起，或勃起无力。
阴跷脉 阴跷脉 奇经八脉之一。见《灵枢·寒热病》．口的循行路线是：起于足跟，经内踝足少阳胆经的然谷穴之后，沿下肢内侧后方上行，经外阴部上循胸里，上出锁骨上窝，沿喉部结节旁到眼内眦，与阳跷脉会合。阴跷脉有病，主要表现为足内翻，喉痛，嗜眠等病证。
饮 饮 ①病证名。即四饮：痰饮，悬饮、溢饮、支饮。②汤剂名称。如仙方活命饮、桑菊饮等。
饮家 饮家 饮即痰饮。饮家指素患有水饮的病人。《金匮·痰饮咳嗽病脉证并治》指出痰饮的症状是先口渴，饮水后立即呕吐出。是心下停有水饮的缘故。心下停水实即胃内潴留永液比较多。
饮片 饮片 又称咀片。药材经过加工处理后，制成片、丝、块、段的形状，便于煎服。
饮膳正要 饮膳正要 书名。营养学专著，元忽思慧撰，刊于1330年，3卷。主要内容论述元代皇室贵族的食谱。卷三中有食物本草内容。介绍了约200种食用植物的性味和主治，并有附图。今有影印本和排印本问世。
饮心痛　　 饮心痛　　 病名。出《千金要方》。水饮停积所致。除上腹痛外，兼有恶心烦闷，呕水，或胁下有水声．
饮证 饮证 即水饮证的简称。指人体水液代谢障碍，水分滞留体内而引起的各种疾病。根据水饮停聚的部位不同，可分为四类：①水聚于肠胃的叫“痰饮”；②水聚于胁下的叫“悬饮”；水聚于胸肺的叫“支饮”；④水溢于四肢的叫“溢饮”。
饮子 饮子 不规定时间冷服的汤剂。
饮痫　　 饮痫　　 病名。指伴有饮食异常的癫痫。多见刊小儿《奇效良方》．“其症吃食不知饱，忽然连三、五日不甚思食，手足抽动，多自梦寐中，太饱便发作”。
饮癖　 饮癖　 古病名。见《诸病源候论·癖病诸侯》。多因中阳不振，水饮停聚所致。表现为肋下如弦绷急，时有水声，遇寒作痛，或时吐涎沫清水，或心下坚硬如盘，或痰多和呕酸嘈杂。
引 引 惊风大候之三。《古今医鉴》：“引者，臂若开弓”。
引葛 引葛 索引葛藤的形态。
引火归元 引火归元 治疗命门虚火上炎的方法。由于肾阳虚，阴寒盛于下，火不归命门而显虚阳上浮，面色浮红，头晕耳鸣，口舌糜烂，腰酸腿软，下肢发凉，舌红脉虚等真寒假热恋　虚寒证，引火归元法药用附子、肉桂、熟地、五味子、玄参等。桂附引浮火归于命门，驱逐下元阴寒；熟地、五味益肾而敛浮阳；玄参滋阴降火，共收引火归元之效。
引经报使 引经报使 指某些药物能引导其它药力达到病变部位或某一经脉，起“向导”和、的作用，故称。参见引经药条。
引经药 引经药 前人在药物归经的基础上，归纳出某些药物不但本身能归某经，并有引导其它方药归某经的作用称“引经药”。六经经络，各有自己的引经药。即太阳经病，引以羌活、防风；阳明经病，引以升麻、葛根、白芷；少阳经病，引以柴胡；太阴经病，引以苍术；少阴经病，引以独活；厥阴经病，引以细辛、川芎、青皮。此外，还有引向病所的的所谓“引导药”。如治咽喉病用桔梗引诸药至咽喉；治上肢病用桑枝，治下肢病用牛膝等。后世医家多不拘泥于此法，而是从实际出发，灵活应用。
引口 引口 出《灵枢＝癲狂》。即口角偏向一侧。
引气 引气 气功术语。引，是引导。“引气”即以意领气，意气结合之意。
引伸法 引伸法 推拿手法。牵拉身体，使关节伸展。有舒展筋脉、缓解挛缩和帮助关节复位的作用。
引手 引手 疮疡辨脓方法之一。用手按脓肿处，手起而即复者有脓，手起而不复者无脓。
引血归经 引血归经 气摄血，脾统血。脾气不足，统摄无权，经血妄行，非补气会脾恢复统摄之功，妄行之血不能归经。在这里，补气健脾就是引血归经的方法。
引阴中拘挛 引阴中拘挛 索引生殖器的一种拘挛状态。
引针 引针 即出针。
应指 应指 ①疮疡辨脓方法之一。即引手。②泛指切脉时指下的搏动感。
迎风冷泪 迎风冷泪 病证名。出《古今医统》。遇风刺激，眼睛流泪不止。多由肝肾两虚或精血亏耗引起。
迎风流泪 迎风流泪 病证名。见《眼科捷径》．多由肝肾不足或肝经郁热所致．表现为遇风流泪，甚至泪如雨下．有冷泪。热泪之分。
迎风热泪 迎风热泪 病证名。出《证治准绳》．由风热外袭、肝肺火炽或肝肾阴虚，虚火上炎所致，主要表现为双眼热泪频流，可伴有目赤涩痛，怕热羞明等症。
迎随补泻 迎随补泻 又称针向补泻，为古代的针刺手法之一。即随着经脉的去向进针和它的去势相顺的为“补法”；迎着经脉的走向进针和它的来势相逆的为“泻法”，《灵枢·九针十二原》：“往者为逆，来者为顺”……近而夺之，恶得无虚?随而济之，恶得无实?”
用药食忌 用药食忌 前人的经验，有待实验研究，仅供参考。《本草纲目》载：“甘草忌猪肉人、菘菜、海菜；黄连忌猪肉、冷水；龙骨忌鲤鱼。
忧伤肺 忧伤肺 语出《素问·阴阳应象大论》。指忧愁日久可引起咳嗽、气闭塞等肺部疾病．
忧膈 忧膈 嗤膈之一，出《肘后方》。因忧郁气结而引起的一种饮食噎塞不通，消瘦无力，烦闷气短。
尤氏喉科秘书 尤氏喉科秘书 医书。1卷。清·乘撰。刊于1765年。本书中介绍了咽、喉、牙、口、舌、颈、面、腮等部位常见病的治法，简明实用。解放后有排印本。与《咽喉脉证通论》合刊。
尤怡 尤怡 （？－1749）清代医学家。字在泾。号拙吾，江苏长州（今吴县）人。幼时这中极为贫穷。学医于马俶。俶是当时的名医，向他学习和与他交朋友的很多，但多不中他的意。到了晚年收了在泾做徒弟，高兴的对他妻子说：”我得这个人，胜过千万人。“在泾开始业医，并不出名，到晚年才逐渐有名声，治疗效率很高，多奇中。文章，诗词都不错。性好静而不慕名利。对《伤寒论》很有研究。编有《伤寒贯珠集》、《金匮要略心典》，是他对张仲景菱钻研的心得和体会，多有发挥。另编有《金匮翼》、《医学读书记》。其医案由后人整理刊行，有《尤氏医案》《评选静香楼医案》二种。较为切合实际，尤的学术思想多宗奉喻嘉言。
